@W: CL169 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\gluelogics\APB_REG_MODULE.v":42:4:42:9|Pruning unused register i[4:0]. Make sure that there are no unused intermediate registers.
@W: CG133 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\uart0\1.4.0\rtl\uart0.v":2055:8:2055:19|Object thr_rd_delay is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\uart0\1.4.0\rtl\uart0.v":2056:8:2056:16|Object last_word is declared but not assigned. Either assign a value or remove the declaration.
@W: CG781 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":135:19:135:37|Input psel_i on instance APB_REG_MODULE_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":135:19:135:37|Input penable_i on instance APB_REG_MODULE_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":135:19:135:37|Input pwrite_i on instance APB_REG_MODULE_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":135:19:135:37|Input paddr_i on instance APB_REG_MODULE_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CG781 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":135:19:135:37|Input pwdata_i on instance APB_REG_MODULE_inst is undriven; assigning to 0.  Simulation mismatch possible. Either assign the input or remove the declaration. 
@W: CL168 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":135:19:135:37|Removing instance APB_REG_MODULE_inst because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL158 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\soc_gpio2.v":55:16:55:22|Inout gpio2_o is unused
@W: CL246 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\uart0\1.4.0\rtl\uart0.v":2604:16:2604:26|Input port bits 1 to 0 of apb_paddr_i[5:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\uart0\1.4.0\rtl\uart0.v":2605:17:2605:28|Input port bits 31 to 8 of apb_pwdata_i[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL177 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1313:12:1313:17|Sharing sequential element genblk5.wr_addr_r and merging genblk5.rd_prev_r. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1351:12:1351:17|Sharing sequential element genblk5.ahbl_hreadyout_r and merging genblk5.ahbl_hreadyout_ext_r. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL249 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1326:12:1326:17|Initial value is not supported on state machine genblk5.bridge_sm_r
@W: CL249 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1338:12:1338:17|Initial value is not supported on state machine genblk5.err_sm_r
@W: CL246 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":9501:17:9501:31|Input port bits 31 to 15 of ahbl_s0_haddr_i[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":9519:17:9519:31|Input port bits 31 to 15 of ahbl_s1_haddr_i[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\gpio0\1.7.0\rtl\gpio0.v":542:17:542:28|Input port bits 31 to 8 of apb_pwdata_i[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL169 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\module\ahbl2apb0\1.1.2\rtl\ahbl2apb0.sv":368:4:368:9|Pruning unused register apb_psel_r. Make sure that there are no unused intermediate registers.
@W: CL247 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\module\ahbl2apb0\1.1.2\rtl\ahbl2apb0.sv":138:16:138:28|Input port bit 0 of ahbl_htrans_i[1:0] is unused
@W: CL247 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\module\ahbl0\1.3.3\rtl\ahbl0.v":4770:16:4770:28|Input port bit 0 of ahbl_htrans_i[1:0] is unused
@W: CL246 :"C:\Users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\gluelogics\APB_REG_MODULE.v":15:21:15:27|Input port bits 1 to 0 of paddr_i[5:0] are unused. Assign logic for all port bits or change the input port size.

